GaiaDR3;Cluster;Pmemb;Note;RA_ICRS;DE_ICRS;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Gmag;BPmag;RPmag;Gmagcor;(G-RP)cor;_RA.icrs;_DE.icrs
2080663302725595520;CWNU_106; 0.61;  N;303.7241;+41.8390;-1.352; 0.135; -3.319; 0.147; 0.494; 0.130;18.432;19.797;17.284;18.501; 1.166;303.7241;+41.8390
2080717011298490880;CWNU_106; 0.70;  N;303.7319;+42.5031;-2.054; 0.128; -3.727; 0.152; 0.526; 0.111;15.880;16.931;14.707;15.720; 1.132;303.7319;+42.5031
2080676325066590208;CWNU_106; 0.70;  N;303.7665;+42.1381;-1.261; 0.093; -3.390; 0.108; 0.559; 0.086;17.800;19.003;16.715;18.118; 1.167;303.7665;+42.1381
2062640765266295040;CWNU_106; 0.73;  N;303.7754;+41.5303;-2.002; 0.058; -2.973; 0.066; 0.584; 0.058;17.021;17.973;16.003;16.676; 0.929;303.7754;+41.5303
2080677252779605632;CWNU_106; 0.78;  N;303.7815;+42.2396;-2.171; 0.054; -3.737; 0.057; 0.514; 0.048;16.873;17.862;15.894;17.191; 1.061;303.7815;+42.2396
2054195755740757760;   HE_40; 0.57;  N;303.7829;+32.4809;-3.452; 0.116; -5.353; 0.123; 0.432; 0.123;18.203;19.323;17.158;18.452; 1.109;303.7829;+32.4809
2054091856195509376;   HE_40; 0.80;  N;303.7853;+31.8685;-3.850; 0.081; -5.732; 0.095; 0.413; 0.090;17.192;21.406;15.475;17.188; 1.716;303.7853;+31.8685
2054183489313814528;   HE_40; 0.80;  N;303.7921;+32.4005;-4.029; 0.147; -5.395; 0.179; 0.436; 0.163;18.565;19.709;17.553;18.814; 1.076;303.7921;+32.4005
2054169745426205440;   HE_40; 0.94;  N;303.7924;+32.1463;-3.852; 0.180; -5.462; 0.200; 0.437; 0.183;18.884;20.134;17.721;19.132; 1.227;303.7924;+32.1463
2080672309278392064;CWNU_106; 0.85;  N;303.8619;+42.0816;-1.673; 0.032; -2.887; 0.036; 0.576; 0.029;15.982;16.595;15.229;16.485; 0.882;303.8619;+42.0816
2080679181226111360;CWNU_106; 0.87;  N;303.8652;+42.3166;-1.828; 0.054; -3.267; 0.060; 0.581; 0.048;16.769;17.829;15.704;17.077; 1.144;303.8652;+42.3166
2080703885878464640;CWNU_106; 0.61;  N;303.8722;+42.4177;-1.794; 0.046; -3.519; 0.048; 0.562; 0.039;16.410;17.208;15.526;16.390; 0.879;303.8722;+42.4177
2054172356761548160;   HE_40; 0.66;  N;303.8757;+32.2811;-3.669; 0.176; -5.672; 0.197; 0.431; 0.190;18.959;20.315;17.793;19.148; 1.214;303.8757;+32.2811
2080703125662759680;CWNU_106; 0.69;  N;303.8866;+42.4047;-2.388; 0.125; -3.675; 0.147; 0.529; 0.108;18.240;19.613;17.125;18.219; 1.109;303.8866;+42.4047
2080704298195340544;CWNU_106; 0.60;  N;303.8899;+42.4386;-2.024; 0.078; -3.179; 0.085; 0.630; 0.068;17.528;18.694;16.487;17.490; 1.031;303.8899;+42.4386
